"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","MIN","-0.210","37.7%","-0.274","35.5%","-0.136","40.3%"
"2","","SEA","-0.193","37.2%","-0.191","36.8%","-0.195","37.8%"
"3","","JAX","-0.168","38.4%","-0.182","38.7%","-0.137","37.6%"
"4","","NO","-0.153","35.8%","-0.172","31.9%","-0.126","41.2%"
"5","","LAC","-0.142","41.9%","-0.081","46.0%","-0.245","35.1%"
"6","","PHI","-0.123","37.8%","-0.234","35.5%","0.022","40.8%"
"7","","HOU","-0.091","39.8%","-0.068","42.1%","-0.133","35.8%"
"8","","CLE","-0.043","41.2%","-0.142","39.8%","0.066","42.9%"
"9","","NYG","-0.038","43.9%","0.003","45.9%","-0.093","41.2%"
"10","","BUF","-0.035","43.8%","-0.083","44.8%","0.037","42.3%"
"11","","CIN","-0.008","42.1%","0.032","45.7%","-0.078","36.0%"
"12","","PIT","0.007","42.9%","0.076","46.9%","-0.096","36.9%"
"13","","MIA","0.016","47.4%","0.034","48.1%","-0.020","46.0%"
"14","","BAL","0.026","43.6%","0.130","45.9%","-0.189","38.7%"
"15","","NE","0.029","43.8%","-0.016","41.7%","0.080","46.0%"
"16","","CHI","0.034","45.2%","0.104","48.0%","-0.065","41.1%"
"17","","ATL","0.040","45.3%","0.095","47.5%","-0.059","41.2%"
"18","","DEN","0.047","39.2%","0.107","41.4%","-0.080","34.7%"
"19","","TEN","0.049","44.0%","0.155","48.2%","-0.139","36.4%"
"20","","SF","0.059","47.1%","0.086","43.0%","0.014","53.8%"
"21","","KC","0.059","44.9%","0.193","50.0%","-0.117","38.3%"
"22","","CAR","0.070","48.8%","0.044","50.7%","0.102","46.3%"
"23","","TB","0.075","46.9%","0.165","50.8%","-0.065","40.7%"
"24","","DET","0.075","45.0%","0.034","43.5%","0.145","47.6%"
"25","","LA","0.079","40.5%","0.136","42.7%","-0.003","37.3%"
"26","","IND","0.088","44.8%","0.252","50.0%","-0.148","37.3%"
"27","","LV","0.143","48.8%","0.328","56.1%","-0.053","41.0%"
"28","","GB","0.156","49.1%","0.301","49.7%","-0.002","48.4%"
"29","","ARI","0.210","49.6%","0.351","53.3%","0.044","45.2%"
"30","","WAS","0.211","48.7%","0.275","50.0%","0.114","46.9%"
"31","","NYJ","0.226","51.7%","0.427","55.7%","-0.025","46.6%"
"32","","DAL","0.263","47.6%","0.404","50.9%","0.048","42.5%"
